,latitude,longitude
0,51.383127,-0.107378
1,51.505109,0.063257
2,51.530746,-0.137929
3,51.512956,-0.083524
4,51.511266,-0.139067
5,51.535563,-0.10317
6,51.460795,-0.428659
7,51.519999,-0.012853
8,51.463552,-0.42838
9,51.463552,-0.42838
10,51.509713,-0.193542
11,51.462889,-0.418126
12,51.544186,-0.276052
13,51.526046,-0.081981
14,51.527274,-0.078665
15,51.527274,-0.078665
16,51.507616,-0.182117
17,51.505243,-0.078856
18,51.591758,-0.129148
19,51.592238,-0.130156
20,51.472777,0.002777
21,51.525367,-0.145686
22,51.506697,-0.085614
23,51.512538,-0.160685
24,51.3717,-0.100592
25,51.371669,-0.100606
26,51.53888,-0.143284
27,51.372947,-0.10075
28,51.419705,-0.091723
29,51.510244,-0.129503
30,51.510909,-0.118993
31,51.512494,-0.123542
32,51.514965,-0.144689
33,51.355683,0.123647
34,51.510772,-0.117695
35,51.510772,-0.117695
36,51.520875,-0.074503
37,51.510431,-0.376024
38,51.4197,-0.091728
39,51.512816,-0.160095
40,51.511486,-0.157349
41,51.454161,-0.063142
42,51.500827,-0.125939
43,51.501013,-0.123578
44,51.500972,-0.121506
45,51.504444,-0.116667
46,51.469067,-0.116858
47,51.510104,-0.135097
48,51.684608,-0.027306
49,51.684558,-0.027412
50,51.684669,-0.027328
51,51.500007,-0.04019
52,51.524178,-0.123059
53,51.504745,-0.169019
54,51.489441,-0.036425
55,51.501447,-0.054581
56,51.370313,-0.099714
57,51.370713,-0.098075
58,51.373333,-0.097964
59,51.475883,-0.298237
60,51.638652,-0.111259
61,51.500929,-0.114476
62,51.388888,0.067777
63,51.521766,-0.102606
64,51.613366,-0.481703
65,51.51908,-0.141812
66,51.51573,-0.150112
67,51.495297,-0.144731
68,51.512086,-0.133512
69,51.653947,0.082183
70,51.526573,-0.080382
71,51.525165,-0.082978
72,51.525058,-0.08271
73,51.525058,-0.08271
74,51.525732,-0.08323
75,51.525732,-0.08323
76,51.525732,-0.08323
77,51.525732,-0.08323
78,51.525732,-0.08323
79,51.525732,-0.08323
80,51.525732,-0.08323
81,51.525732,-0.08323
82,51.525732,-0.08323
83,51.525732,-0.08323
84,51.525732,-0.08323
85,51.525732,-0.08323
86,51.525732,-0.08323
87,51.525732,-0.08323
88,51.474677,0.005086
89,51.52907,-0.069969
90,51.51806,-0.143247
91,51.526205,-0.081155
92,51.500929,-0.114476
93,51.584029,-0.008271
94,51.571583,-0.149856
95,51.530125,-0.124722
96,51.544922,-0.201412
97,51.533888,-0.128334
98,51.504989,-0.083191
99,51.506765,-0.089081
100,51.621738,-0.317759
101,51.526636,-0.056339
102,51.501319,-0.124926
103,51.463578,-0.170805
104,51.463594,-0.427819
105,51.540041,-0.112684
106,51.53683,-0.109759
107,51.51493,-0.15092
108,51.510252,-0.225895
109,51.514655,-0.146684
110,51.403636,-0.096731
111,51.496502,-0.142289
112,51.509444,-0.087053
113,51.473217,0.18254
114,51.50344,-0.132586
115,51.540133,-0.105273
116,51.540402,-0.108817
117,51.537822,-0.109781
118,51.567267,-0.00987
119,51.465551,-0.424722
120,51.515432,-0.222483
121,51.592094,-0.125714
122,51.563839,-0.361797
123,51.509866,-0.122856
124,51.481663,-0.18747
125,51.511544,-0.151517
126,51.490762,-0.158808
127,51.509049,-0.17621
128,51.509049,-0.17621
129,51.49101,-0.127415
130,51.340407,-0.268725
131,51.519741,-0.128201
132,51.512248,-0.09127
133,51.504107,-0.083706
134,51.388888,0.067777
135,51.496427,-0.172283
136,51.507758,-0.156995
137,51.507758,-0.156995
138,51.353972,-0.465317
139,51.515922,-0.144614
140,51.409722,-0.233889
141,51.500929,-0.114476
142,51.500929,-0.114476
143,51.425997,-0.337548
144,51.527806,-0.080221
145,51.332766,-0.269073
146,51.508052,-0.158523
147,51.510258,-0.159728
148,51.503319,-0.12135
149,51.503516,-0.119626
150,51.503516,-0.119626
151,51.502161,-0.119706
152,51.502161,-0.119706
153,51.522791,-0.154823
154,51.522791,-0.154823
155,51.507273,-0.076968
156,51.522791,-0.154823
157,51.438816,0.269173
158,51.527388,-0.133042
159,51.519672,-0.128056
160,51.492458,-0.158212
161,51.546812,-0.103919
162,51.546812,-0.103919
163,51.430072,-0.127145
164,51.519712,-0.05801
165,51.464943,-0.036628
166,51.470437,-0.461071
167,51.502005,-0.141475
168,51.531658,-0.123248
169,51.534486,-0.123612
170,51.597888,-0.120377
171,51.494347,-0.12185
172,51.512846,-0.083396
173,51.613752,0.299398
174,51.510547,-0.134089
175,51.502939,0.003304
176,51.505745,-0.157027
177,51.505745,-0.157027
178,51.419708,-0.091706
179,51.494917,0.036735
180,51.41965,-0.091817
181,51.515119,-0.14405
182,51.523756,-0.089062
183,51.552673,-0.301544
184,51.497327,-0.175231
185,51.496938,-0.173378
186,51.496947,-0.173573
187,51.494175,-0.173839
188,51.564952,-0.145159
189,51.557963,-0.282018
190,51.659371,-0.079994
191,51.490277,0.282777
192,51.490327,0.283025
193,51.490322,0.283216
194,51.51838,-0.138531
195,51.604283,-0.066384
196,51.6038,0.06465
197,51.515553,-0.140451
198,51.514602,-0.116167
199,51.514602,-0.116167
200,51.371492,-0.48946
201,51.529705,-0.134786
202,51.508305,-0.127453
203,51.512427,-0.180959
204,51.512427,-0.180959
205,51.512427,-0.180959
206,51.512427,-0.180959
207,51.512427,-0.180959
208,51.512427,-0.180959
209,51.518557,-0.172305
210,51.512427,-0.180959
211,51.512427,-0.180959
212,51.520597,-0.074898
213,51.512427,-0.180959
214,51.512427,-0.180959
215,51.512427,-0.180959
216,51.507013,-0.131848
217,51.529336,-0.077339
218,51.463593,-0.172863
219,51.401919,0.015932
220,51.505223,-0.086871
221,51.509183,-0.122509
222,51.507721,-0.099456
223,51.606711,-0.133242
224,51.490402,-0.234281
225,51.605599,-0.071625
226,51.556288,-0.40644
227,51.519365,-0.081024
228,51.520638,-0.138531
229,51.609608,0.02209
230,51.519866,-0.119514
231,51.39,0.071666
232,51.483033,-0.010923
233,51.506832,-0.104691
234,51.508301,-0.081228
235,51.519225,-0.072617
236,51.531525,-0.123848
